ZFIN ID	Symbol	NCBI Gene ID	Ensembl ID
ZDB-GENE-000329-16	or42e1	58116	ENSDARG00000041030
ZDB-GENE-000329-17	hoxc12b	58062	ENSDARG00000103133
ZDB-GENE-000329-2	hoxb7a	58044	ENSDARG00000056030
ZDB-GENE-000329-3	actb2	57935	ENSDARG00000037870
ZDB-GENE-000329-4	notch2	58065	ENSDARG00000043130
ZDB-GENE-000329-5	notch3	58066	ENSDARG00000052139
ZDB-GENE-000329-9	actn3a	58037	ENSDARG00000013755
ZDB-GENE-000330-2	trpc4apb	58089	ENSDARG00000020647
ZDB-GENE-000330-3	trpc4apa	58090	ENSDARG00000018840
ZDB-GENE-000330-4	stx1b	58038	ENSDARG00000000503
ZDB-GENE-000330-5	cdc25b	57925	ENSDARG00000010792
ZDB-GENE-000330-7	blcap	57918	ENSDARG00000052073
ZDB-GENE-000330-8	coil	58024	ENSDARG00000040070
ZDB-GENE-000330-9	psen2	58026	ENSDARG00000015540
ZDB-GENE-000403-1	axin1	57931	ENSDARG00000102964
ZDB-GENE-000403-2	axin2	58080	ENSDARG00000100149
ZDB-GENE-000405-1	pbx1a	58138	ENSDARG00000100494
ZDB-GENE-000405-3	pbx3b	58140	ENSDARG00000013615
ZDB-GENE-000405-5	pbx2	58136	ENSDARG00000019717
ZDB-GENE-000405-6	dazl	58039	ENSDARG00000036214
ZDB-GENE-000406-10	ccnb1	58025	ENSDARG00000051923
ZDB-GENE-000406-3	plrdgb	58096	ENSDARG00000089101
ZDB-GENE-000406-5	copz2	57969	ENSDARG00000006786
ZDB-GENE-000406-6	copz1	57970	ENSDARG00000017844
ZDB-GENE-000406-8	mespaa	58069	ENSDARG00000017078
ZDB-GENE-000406-9	mespba	58070	ENSDARG00000030347
ZDB-GENE-000411-1	wnt4b	791993	ENSDARG00000040159
ZDB-GENE-000412-1	bdnf	58118	ENSDARG00000018817
ZDB-GENE-000426-1	fn1a	100005469	ENSDARG00000019815
ZDB-GENE-000427-1	rh50	791729	ENSDARG00000041848
ZDB-GENE-000427-10	spon1b	58029	ENSDARG00000023694
ZDB-GENE-000427-2	mbl2	100008009	ENSDARG00000068220
ZDB-GENE-000427-3	p2rx3a	58147	ENSDARG00000010477
ZDB-GENE-000427-4	valopa	58109	ENSDARG00000021150
ZDB-GENE-000427-6	her7	58132	ENSDARG00000017917
ZDB-GENE-000427-7	tbx20	57936	ENSDARG00000005150
ZDB-GENE-000427-9	spon1a	58027	ENSDARG00000010029
ZDB-GENE-000501-1	celf1	58137	ENSDARG00000005315
ZDB-GENE-000501-2	celf3a	57922	ENSDARG00000034668
ZDB-GENE-000502-1	bmpr1aa	58145	ENSDARG00000019728
ZDB-GENE-000508-1	dct	58074	ENSDARG00000006008
ZDB-GENE-000509-1	bmal1a	58098	ENSDARG00000006791
ZDB-GENE-000509-2	bmal2	58099	ENSDARG00000041381
ZDB-GENE-000509-3	smad3a	58092	ENSDARG00000036096
ZDB-GENE-000510-1	rhebl1	767781	ENSDARG00000039162
ZDB-GENE-000511-1	hand2	58150	ENSDARG00000008305
ZDB-GENE-000511-2	pycard	57923	ENSDARG00000040076
ZDB-GENE-000511-3	dap	58093	ENSDARG00000000069
ZDB-GENE-000511-4	dap1b	58094	
ZDB-GENE-000511-6	baxa	58081	ENSDARG00000020623
ZDB-GENE-000511-7	mcl1a	58122	ENSDARG00000009779
ZDB-GENE-000511-8	slc40a1	58153	ENSDARG00000000241
ZDB-GENE-000516-1	fbxw4	58035	ENSDARG00000033551
ZDB-GENE-000517-1	fgd	58075	
ZDB-GENE-000523-2	pou4f1	58057	ENSDARG00000005559
ZDB-GENE-000524-1	slc34a2a	58148	ENSDARG00000012903
ZDB-GENE-000526-1	hey2	58146	ENSDARG00000013441
ZDB-GENE-000605-1	runx1	58126	ENSDARG00000087646
ZDB-GENE-000605-2	runx3	58127	ENSDARG00000052826
ZDB-GENE-000607-1	pcdh18a	572532	ENSDARG00000089805
ZDB-GENE-000607-13	sox5	567413	ENSDARG00000011582
ZDB-GENE-000607-14	id:ibd2170	57950	
ZDB-GENE-000607-16	bcl7a	57952	ENSDARG00000052907
ZDB-GENE-000607-21	slc7a6	57957	ENSDARG00000054423
ZDB-GENE-000607-23	id:ibd5069	57959	
ZDB-GENE-000607-24	id:ibd5025	57960	
ZDB-GENE-000607-26	id:ibd5011	57962	
ZDB-GENE-000607-29	id:ibd5038	57965	
ZDB-GENE-000607-3	id:ibd1017	57939	
ZDB-GENE-000607-46	id:ibd5010	57984	
ZDB-GENE-000607-49	adgrl2a	57987	ENSDARG00000069356
ZDB-GENE-000607-52	kat6b	568932	ENSDARG00000055429
ZDB-GENE-000607-58	tlcd5a	562331	ENSDARG00000024920
ZDB-GENE-000607-62	id:ibd5052	58000	
ZDB-GENE-000607-65	evla	58003	ENSDARG00000035650
ZDB-GENE-000607-70	hey1	58008	ENSDARG00000070538
ZDB-GENE-000607-73	id:ibd1043	58011	
ZDB-GENE-000607-75	noc2l	58013	ENSDARG00000001754
ZDB-GENE-000607-77	si:ch211-285f17.1	562465	ENSDARG00000059333
ZDB-GENE-000607-78	hccsb	58016	ENSDARG00000099358
ZDB-GENE-000607-8	id:ibd2908	57944	
ZDB-GENE-000607-80	sv2	570651	ENSDARG00000091833
ZDB-GENE-000607-82	wwp2	564527	ENSDARG00000061345
ZDB-GENE-000607-83	krt4	794486	ENSDARG00000017624
ZDB-GENE-000616-1	badb	58100	ENSDARG00000054937
ZDB-GENE-000616-10	smx5	57924	ENSDARG00000070867
ZDB-GENE-000616-11	stk19	57929	ENSDARG00000086628
ZDB-GENE-000616-13	appa	58083	ENSDARG00000104279
ZDB-GENE-000616-14	gart	58141	ENSDARG00000101089
ZDB-GENE-000616-15	foxh1	57930	ENSDARG00000055630
ZDB-GENE-000616-16	hsf1	58123	ENSDARG00000008818
ZDB-GENE-000616-2	dedd1	58125	ENSDARG00000002758
ZDB-GENE-000616-3	caspa	57933	ENSDARG00000008165
ZDB-GENE-000616-4	apaf1	58131	ENSDARG00000021239
ZDB-GENE-000616-5	adar	58119	ENSDARG00000012389
ZDB-GENE-000616-6	myf5	58097	ENSDARG00000007277
ZDB-GENE-000616-8	prph2a	58085	ENSDARG00000038018
ZDB-GENE-000616-9	prph2b	559209	ENSDARG00000014840
ZDB-GENE-000619-1	cxcl14	58151	ENSDARG00000056627
ZDB-GENE-000622-1	gata6	58076	ENSDARG00000103589
ZDB-GENE-000626-1	tnnt2a	58071	ENSDARG00000020610
ZDB-GENE-000627-1	fabp7a	58128	ENSDARG00000007697
ZDB-GENE-000627-2	adarb1a	58134	ENSDARG00000041609
ZDB-GENE-000629-1	rplp0	58101	ENSDARG00000051783
ZDB-GENE-000629-2	ngfb	58133	ENSDARG00000014050
ZDB-GENE-000629-3	ybx1	795398	ENSDARG00000004757
ZDB-GENE-000705-1	kdrl	796537	ENSDARG00000105215
ZDB-GENE-000710-1	gpr173	57926	ENSDARG00000042922
ZDB-GENE-000710-2	gpr85	793299	ENSDARG00000068701
ZDB-GENE-000710-3	nme6	58120	ENSDARG00000016138
ZDB-GENE-000710-4	zic2a	58077	ENSDARG00000015554
ZDB-GENE-000710-6	mxtx2	58078	ENSDARG00000015906
ZDB-GENE-000710-7	mxtx1	100149566	ENSDARG00000069382
ZDB-GENE-000713-1	casp8	58022	ENSDARG00000058325
ZDB-GENE-000804-1	per3	58107	ENSDARG00000010519
ZDB-GENE-000816-1	fgfr3	58129	ENSDARG00000004782
ZDB-GENE-000822-1	hoxc6b	58045	ENSDARG00000101954
ZDB-GENE-000822-2	hoxc1a	58046	ENSDARG00000070337
ZDB-GENE-000822-3	hoxc11b	570925	ENSDARG00000102631
ZDB-GENE-000822-4	hoxc13a	58059	ENSDARG00000070353
ZDB-GENE-000822-5	hoxc13b	58063	ENSDARG00000113877
ZDB-GENE-000822-6	hoxc12a	562600	ENSDARG00000070352
ZDB-GENE-000823-1	hoxa9a	58047	ENSDARG00000105013
ZDB-GENE-000823-2	hoxa9b	58048	ENSDARG00000056819
ZDB-GENE-000823-3	hoxa3a	58049	ENSDARG00000103862
ZDB-GENE-000823-4	hoxa4a	58050	
ZDB-GENE-000823-5	hoxa1a	58051	ENSDARG00000104307
ZDB-GENE-000823-6	hoxb5b	58052	ENSDARG00000054030
ZDB-GENE-000823-7	hoxb6b	58053	ENSDARG00000026513
ZDB-GENE-000823-8	hoxa11a	58061	ENSDARG00000104162
ZDB-GENE-000823-9	hoxa5a	58055	ENSDARG00000102501
ZDB-GENE-000828-1	scn8aa	58152	ENSDARG00000005775
ZDB-GENE-000830-1	nkx2.4b	58112	ENSDARG00000104107
ZDB-GENE-000831-1	pcxb	58068	ENSDARG00000051939
ZDB-GENE-000831-2	fth1a	58108	ENSDARG00000015551
ZDB-GENE-000831-3	slc3a2a	796322	ENSDARG00000036427
ZDB-GENE-000831-4	dnajc3b	58154	ENSDARG00000017874
ZDB-GENE-000831-5	cd81a	58031	ENSDARG00000036080
ZDB-GENE-000831-6	pim2	58054	ENSDARG00000059001
ZDB-GENE-000901-1	cd74a	58113	ENSDARG00000009087
ZDB-GENE-000906-1	sptb	58040	ENSDARG00000030490
ZDB-GENE-000906-2	hspe1	58041	ENSDARG00000056167
ZDB-GENE-000906-3	ctnnbip1	58117	ENSDARG00000038954
ZDB-GENE-000906-4	fzd9b	58023	ENSDARG00000014673
ZDB-GENE-000920-1	edn1	58032	ENSDARG00000036912
ZDB-GENE-000921-2	pdp2	58149	ENSDARG00000058571
ZDB-GENE-000926-1	atoh7	58216	ENSDARG00000069552
ZDB-GENE-000928-1	fech	58215	ENSDARG00000003462
ZDB-GENE-001006-1	fgf4	570435	ENSDARG00000105230
ZDB-GENE-001019-1	robo2	60309	ENSDARG00000014891
ZDB-GENE-001020-1	hmx3a	60310	ENSDARG00000070955
ZDB-GENE-001030-2	pax5	60636	ENSDARG00000037383
ZDB-GENE-001030-3	pax8	60637	ENSDARG00000015879
ZDB-GENE-001030-4	pax2b	60638	ENSDARG00000032578
ZDB-GENE-001031-1	pax6b	60639	ENSDARG00000045936
ZDB-GENE-001101-1	nos1	60658	ENSDARG00000068910
ZDB-GENE-001103-1	sox9a	60641	ENSDARG00000003293
ZDB-GENE-001103-2	sox9b	60642	ENSDARG00000043923
ZDB-GENE-001103-3	fezf2	60634	ENSDARG00000070677
ZDB-GENE-001103-4	cyp19a1b	60640	ENSDARG00000098360
ZDB-GENE-001103-5	cldn7b	60635	ENSDARG00000014047
ZDB-GENE-001106-1	wnt3a	60632	ENSDARG00000058822
ZDB-GENE-001106-11	nitr4a	60652	ENSDARG00000075288
ZDB-GENE-001106-16	nitr3b	60659	ENSDARG00000057620
ZDB-GENE-001106-3	nitr1i	60644	ENSDARG00000033963
ZDB-GENE-001106-4	nitr1c	60645	
ZDB-GENE-001106-5	nitr1k	60646	ENSDARG00000110393
ZDB-GENE-001106-6	nitr2b	60647	ENSDARG00000000460
ZDB-GENE-001106-8	nitr3a	60649	ENSDARG00000077998
ZDB-GENE-001120-1	lima1a	64000	ENSDARG00000101441
ZDB-GENE-001120-2	stard3	63998	ENSDARG00000017809
ZDB-GENE-001120-3	star	63999	ENSDARG00000006137
ZDB-GENE-001127-1	atp1b3b	64272	ENSDARG00000042837
ZDB-GENE-001127-2	atp1b2a	64269	ENSDARG00000099203
ZDB-GENE-001127-3	atp1b1a	64267	ENSDARG00000013144
ZDB-GENE-001127-4	atp1b1b	64273	ENSDARG00000076833
ZDB-GENE-001128-1	efna5a	64256	ENSDARG00000089790
ZDB-GENE-001201-1	vtg1	559475	ENSDARG00000092233
ZDB-GENE-001201-2	vtg2	559931	ENSDARG00000055809
ZDB-GENE-001201-3	vtg4	678536	ENSDARG00000078429
ZDB-GENE-001201-4	vtg5	64260	ENSDARG00000092126
ZDB-GENE-001201-5	vtg6	559229	ENSDARG00000016825
ZDB-GENE-001201-6	vtg7	559856	ENSDARG00000092419
ZDB-GENE-001202-1	plp1a	64264	ENSDARG00000103732
ZDB-GENE-001205-1	csf1ra	64274	ENSDARG00000102986
ZDB-GENE-001205-2	aox5	64265	ENSDARG00000071475
ZDB-GENE-001205-3	gch2	64263	ENSDARG00000099101
ZDB-GENE-001205-4	ctsk	550475	ENSDARG00000040251
ZDB-GENE-001206-2	lbx2	64276	ENSDARG00000025131
ZDB-GENE-001207-1	supt5h	64275	ENSDARG00000042724
ZDB-GENE-001207-3	arnt2	64277	ENSDARG00000103697
ZDB-GENE-001207-7	epha4a	64271	ENSDARG00000054454
ZDB-GENE-001208-1	psmb12	64279	ENSDARG00000031885
ZDB-GENE-001208-2	psmb13a	64280	ENSDARG00000001656
ZDB-GENE-001208-3	psmb9b	64281	
ZDB-GENE-001208-4	psmb7	64278	ENSDARG00000037962
ZDB-GENE-001212-1	atp1a1a.1	64612	ENSDARG00000002791
ZDB-GENE-001212-2	atp1a1a.2	64613	ENSDARG00000007739
ZDB-GENE-001212-3	atp1a1a.3	64614	ENSDARG00000039131
ZDB-GENE-001212-4	atp1a1a.4	64615	ENSDARG00000001870
ZDB-GENE-001212-5	atp1a1b	64616	ENSDARG00000019856
ZDB-GENE-001212-6	atp1a2a	64609	ENSDARG00000010472
ZDB-GENE-001212-7	atp1a3a	64610	ENSDARG00000018259
ZDB-GENE-001212-8	atp1a3b	64611	ENSDARG00000104139
ZDB-GENE-001219-1	htatip2	64605	ENSDARG00000028386
ZDB-GENE-001221-1	nrf1	64604	ENSDARG00000000018
ZDB-GENE-001222-1	vsx2	796163	ENSDARG00000005574
ZDB-GENE-001228-1	eomesa	64603	ENSDARG00000006640
ZDB-GENE-001228-2	s1pr1	64617	ENSDARG00000042690
ZDB-GENE-001229-1	alas2	64607	ENSDARG00000038643
ZDB-GENE-001229-2	alas1	64608	ENSDARG00000021059
ZDB-GENE-010102-1	dcn	64698	ENSDARG00000012066
ZDB-GENE-010108-1	vox	64807	ENSDARG00000099761
ZDB-GENE-010108-2	vent	64810	ENSDARG00000100483
ZDB-GENE-010110-1	hsd17b8	64815	ENSDARG00000001169
ZDB-GENE-010110-3	daxx	561006	ENSDARG00000000729
ZDB-GENE-010110-4	zbtb22b	64809	ENSDARG00000003251
ZDB-GENE-010111-1	sox19b	64812	ENSDARG00000040266
ZDB-GENE-010112-2	mhc2dbb	767810	ENSDARG00000056330
ZDB-GENE-010116-10	mhc1ufa	64886	
ZDB-GENE-010116-8	mhc1uda	64884	
ZDB-GENE-010116-9	mhc1uea	64885	
ZDB-GENE-010122-1	fgf8b	65089	ENSDARG00000039615
ZDB-GENE-010125-1	oprm1	65088	ENSDARG00000039434
ZDB-GENE-010126-1	ntrk2a	65090	ENSDARG00000059897
ZDB-GENE-010126-2	ntrk2b	570240	ENSDARG00000098511
ZDB-GENE-010126-3	ntrk3a	568668	ENSDARG00000077228
ZDB-GENE-010126-4	ntrk3b	798577	ENSDARG00000086214
ZDB-GENE-010129-1	klf17	65238	ENSDARG00000038792
ZDB-GENE-010130-1	ctbp1	65229	ENSDARG00000057007
ZDB-GENE-010130-2	ctbp2a	65230	ENSDARG00000044062
ZDB-GENE-010131-1	rgl2	65227	ENSDARG00000007727
ZDB-GENE-010131-2	cdk5	65234	ENSDARG00000056683
ZDB-GENE-010131-3	rpa2	65226	ENSDARG00000037188
ZDB-GENE-010131-6	mdkb	65231	ENSDARG00000020708
ZDB-GENE-010131-7	prss1	65223	ENSDARG00000042993
ZDB-GENE-010131-8	ctsd	65225	ENSDARG00000057698
ZDB-GENE-010201-1	six4b	65232	ENSDARG00000031983
ZDB-GENE-010201-2	six4a	65233	ENSDARG00000004695
ZDB-GENE-010201-3	six5	65235	ENSDARG00000068406
ZDB-GENE-010202-1	mapk8b	65236	ENSDARG00000009870
ZDB-GENE-010202-2	mapk14a	65237	ENSDARG00000000857
ZDB-GENE-010202-3	map2k6	65239	ENSDARG00000099184
ZDB-GENE-010219-1	gcga	494052	ENSDARG00000079296
ZDB-GENE-010219-2	sst2	79186	ENSDARG00000014190
ZDB-GENE-010226-1	gdnfa	79379	ENSDARG00000039959
ZDB-GENE-010226-2	gfra1a	79376	ENSDARG00000099732
ZDB-GENE-010226-3	gfra1b	79377	ENSDARG00000102564
ZDB-GENE-010302-1	foxc1a	100148408	ENSDARG00000091481
ZDB-GENE-010302-2	foxc1b	79375	ENSDARG00000055398
ZDB-GENE-010302-3	agxtb	79378	ENSDARG00000018478
ZDB-GENE-010306-1	cyp11a1.1	80374	ENSDARG00000002347
ZDB-GENE-010306-3	slit2	80353	ENSDARG00000004246
ZDB-GENE-010306-4	slit3	80354	ENSDARG00000034268
ZDB-GENE-010308-1	or30by1	554781	ENSDARG00000025600
ZDB-GENE-010308-10	or42c5	80362	ENSDARG00000041019
ZDB-GENE-010308-11	or42d2	80363	ENSDARG00000092238
ZDB-GENE-010308-12	or42e2	80372	ENSDARG00000086383
ZDB-GENE-010308-14	or42c3	80364	ENSDARG00000041024
ZDB-GENE-010308-16	or42d3	80365	ENSDARG00000088846
ZDB-GENE-010308-17	or42d1	80366	ENSDARG00000086633
ZDB-GENE-010308-19	or42e3	791954	ENSDARG00000025658
ZDB-GENE-010308-21	or40a1	80368	ENSDARG00000041032
ZDB-GENE-010308-22	or71al2	554777	ENSDARG00000041033
ZDB-GENE-010308-3	or30by3	554780	ENSDARG00000074966
ZDB-GENE-010308-4	or30bw1	80357	ENSDARG00000004598
ZDB-GENE-010308-5	or30bx1	80358	ENSDARG00000041005
ZDB-GENE-010308-8	or30bt2	554779	ENSDARG00000094125
ZDB-GENE-010309-1	or70a2	80359	ENSDARG00000094235
ZDB-GENE-010309-2	or70a12	80360	ENSDARG00000018521
ZDB-GENE-010309-3	or70a4	80361	ENSDARG00000035048
ZDB-GENE-010316-1	slc6a3	80787	ENSDARG00000004219
ZDB-GENE-010319-1	dvl3a	80972	ENSDARG00000015707
ZDB-GENE-010319-10	id:ibd2600	80928	
ZDB-GENE-010319-11	id:ibd2048	80929	
ZDB-GENE-010319-12	id:ibd2217	80930	
ZDB-GENE-010319-16	id:ibd2028	80934	
ZDB-GENE-010319-18	id:ibd2734	80936	
ZDB-GENE-010319-23	id:ibd2007	80947	
ZDB-GENE-010319-26	id:ibd5098	80950	
ZDB-GENE-010319-27	ttc7a	559345	ENSDARG00000074760
ZDB-GENE-010319-28	id:ibd5101	80952	
ZDB-GENE-010319-3	nacc1a	80917	ENSDARG00000099164
ZDB-GENE-010319-31	siah1	80955	ENSDARG00000030871
ZDB-GENE-010319-35	pard6gb	80959	ENSDARG00000036090
ZDB-GENE-010319-40	rnd3a	80963	ENSDARG00000076799
ZDB-GENE-010319-41	id:ibd5141	80964	
ZDB-GENE-010320-1	cdk1	80973	ENSDARG00000087554
ZDB-GENE-010320-2	cdk7	405897	ENSDARG00000051916
ZDB-GENE-010323-11	enah	541394	ENSDARG00000032049
ZDB-GENE-010323-5	papss2b	80939	ENSDARG00000056600
ZDB-GENE-010328-1	cldna	81580	ENSDARG00000069888
ZDB-GENE-010328-10	cldnj	81589	ENSDARG00000058880
ZDB-GENE-010328-11	cldn1	81590	ENSDARG00000040045
ZDB-GENE-010328-12	cldn15la	81591	ENSDARG00000016081
ZDB-GENE-010328-13	cldn11b	81592	ENSDARG00000030723
ZDB-GENE-010328-14	cldn12	81593	ENSDARG00000003927
ZDB-GENE-010328-15	hip1	793823	ENSDARG00000062972
ZDB-GENE-010328-16	baz1b	571727	ENSDARG00000102832
ZDB-GENE-010328-17	bcl7bb	81595	ENSDARG00000040396
ZDB-GENE-010328-18	gtf2ird1	81597	ENSDARG00000022203
ZDB-GENE-010328-19	eif4h	402996	ENSDARG00000042252
ZDB-GENE-010328-2	cldnb	81581	ENSDARG00000009544
ZDB-GENE-010328-3	cldn3d	81582	ENSDARG00000015955
ZDB-GENE-010328-4	cldnd	81583	ENSDARG00000006580
ZDB-GENE-010328-5	cldne	81584	ENSDARG00000043128
ZDB-GENE-010328-6	cldnf	81585	ENSDARG00000043133
ZDB-GENE-010328-7	cldng	81586	ENSDARG00000003701
ZDB-GENE-010328-8	cldn3c	81587	ENSDARG00000069503
ZDB-GENE-010328-9	cldni	569084	ENSDARG00000054616
ZDB-GENE-010403-1	crx	81881	ENSDARG00000011989
ZDB-GENE-010404-1	nkx2.1	81883	ENSDARG00000019835
ZDB-GENE-010406-1	anxa13	81880	ENSDARG00000013976
ZDB-GENE-010406-2	meis3	81885	ENSDARG00000002795
ZDB-GENE-010406-3	ncoa2	81884	ENSDARG00000017929
ZDB-GENE-010406-4	vipr2	81886	ENSDARG00000012353
ZDB-GENE-010406-5	dhfr	81882	ENSDARG00000004251
ZDB-GENE-010410-2	glrba	83412	ENSDARG00000052782
ZDB-GENE-010410-3	glra4a	83413	ENSDARG00000006865
ZDB-GENE-010412-1	six2a	83415	ENSDARG00000058004
ZDB-GENE-010413-1	ssr2	83414	ENSDARG00000005230
ZDB-GENE-010416-1	bambia	83496	ENSDARG00000055381
ZDB-GENE-010426-1	dmd	83773	ENSDARG00000008487
ZDB-GENE-010426-2	cry1a	100003956	ENSDARG00000045768
ZDB-GENE-010426-3	cry1b	554836	ENSDARG00000011583
ZDB-GENE-010426-4	cry3a	573209	ENSDARG00000069074
ZDB-GENE-010426-5	cry3b	83780	ENSDARG00000091131
ZDB-GENE-010426-6	cry2	83774	ENSDARG00000102403
ZDB-GENE-010426-7	cry4	83775	ENSDARG00000011890
ZDB-GENE-010426-8	cry5	83776	ENSDARG00000019498
ZDB-GENE-010430-2	vps52	556724	ENSDARG00000099258
ZDB-GENE-010430-3	mmut	569581	ENSDARG00000060554
ZDB-GENE-010430-4	ppt2b	100126133	ENSDARG00000104542
ZDB-GENE-010430-5	skic2	559653	ENSDARG00000062206
ZDB-GENE-010501-1	nfya	83915	ENSDARG00000042004
ZDB-GENE-010501-3	pbrm1l	445141	ENSDARG00000077038
ZDB-GENE-010501-4	prrc2a	394248	ENSDARG00000031494
ZDB-GENE-010501-5	bag6	83910	ENSDARG00000075892
ZDB-GENE-010501-6	ehmt2	569250	ENSDARG00000102325
ZDB-GENE-010502-1	hmga1a	406447	ENSDARG00000028335
ZDB-GENE-010502-2	psma6l	83917	ENSDARG00000043899
ZDB-GENE-010503-1	ucp1	83908	ENSDARG00000023151
ZDB-GENE-010504-1	nr5a1a	83916	ENSDARG00000103176
ZDB-GENE-010507-2	clic3	84040	ENSDARG00000044776
ZDB-GENE-010508-1	bco1	84039	ENSDARG00000104256
ZDB-GENE-010509-1	bco2l	84041	ENSDARG00000027620
ZDB-GENE-010509-2	twsg1a	84037	ENSDARG00000104244
ZDB-GENE-010522-1	cp	84702	ENSDARG00000010312
ZDB-GENE-010525-1	slc4a1a	84703	ENSDARG00000012881
ZDB-GENE-010601-1	vars1	114427	ENSDARG00000044575
ZDB-GENE-010601-2	abhd16a	564613	ENSDARG00000078929
ZDB-GENE-010605-2	mafa	114467	ENSDARG00000015890
ZDB-GENE-010605-3	mafaa	100000492	ENSDARG00000044155
ZDB-GENE-010605-4	mafbb	114463	ENSDARG00000070542
ZDB-GENE-010605-5	apom	569714	ENSDARG00000076838
ZDB-GENE-010606-1	cdh1	114424	ENSDARG00000102750
ZDB-GENE-010607-1	ube2ia	114445	ENSDARG00000052649
ZDB-GENE-010607-2	igf1	114433	ENSDARG00000094132
ZDB-GENE-010607-3	gja8b	114403	ENSDARG00000015076
ZDB-GENE-010608-1	neurod6a	114414	ENSDARG00000040008
ZDB-GENE-010608-2	neurod6b	114415	ENSDARG00000020794
ZDB-GENE-010608-3	neurod2	114435	ENSDARG00000016854
ZDB-GENE-010608-4	neurog3	114411	ENSDARG00000016951
ZDB-GENE-010611-1	cebp1	114453	ENSDARG00000101096
ZDB-GENE-010613-1	bhik	114357	
